Rk,Player,Age,Team,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,lgRF9,RF/G,lgRFG,PB,WP,SB,CS,CS%,Pick,Pos,Awards,-9999
161,Vinnie Pasquantino,26,KCR,AL,103,103,92,893.0,878,805,71,2,76,.998,4,5,-3,-4,8.83,8.03,8.50,7.92,,,,,,,3D/H,,pasquvi01
162,Tommy Pham,36,3TM,2LG,105,100,81,888.0,205,201,3,1,0,.995,-7,-9,-10,-14,2.07,2.26,1.94,2.23,,,,,,,978/DH,,phamth01
162,Tommy Pham,36,2TM,AL,83,83,66,730.1,180,176,3,1,0,.994,-3,-5,-7,-12,2.21,2.27,2.16,2.24,,,,,,,987/DH,,phamth01
162,Tommy Pham,36,CHW,AL,65,65,51,570.1,144,142,1,1,0,.993,-6,-12,-11,-23,2.26,2.27,2.20,2.24,,,,,,,987/HD,,phamth01
162,Tommy Pham,36,STL,NL,22,17,15,157.2,25,25,0,0,0,1.000,-4,-29,-3,-23,1.43,2.21,1.14,2.18,,,,,,,7/9HD,,phamth01
162,Tommy Pham,36,KCR,AL,18,18,15,160.0,36,34,2,0,0,1.000,3,19,4,30,2.03,2.27,2.00,2.24,,,,,,,7/9D,,phamth01
163,Xander Bogaerts,31,SDP,NL,101,101,90,887.2,383,147,227,9,48,.977,-4,-5,-1,-1,3.79,4.09,3.56,4.03,,,,,,,46/DH,,bogaexa01
164,Will Benson,26,CIN,NL,118,102,52,884.0,233,226,5,2,0,.991,-6,-7,-6,-8,2.35,2.21,1.96,2.18,,,,,,,*798H/D,,bensowi01
165,Adley Rutschman,26,BAL,AL,103,99,97,882.1,915,874,37,4,4,.996,1,1,4,5,9.29,9.16,8.84,9.03,3,21,82,19,18.8,0,2D/H,AS,rutscad01
166,Kiké Hernández,32,LAD,NL,123,93,67,881.0,302,154,138,10,25,.967,3,4,5,7,2.98,3.29,2.13,3.36,,,,,,,5H3784/61D,,hernaen02
167,Michael Siani,24,STL,NL,121,98,70,877.1,243,242,1,0,0,1.000,11,14,9,12,2.49,2.21,2.01,2.18,,,,,,,*8H/97D,,sianimi01
168,Ozzie Albies,27,ATL,NL,99,99,98,875.2,395,153,239,3,57,.992,2,2,1,1,4.03,4.15,3.96,4.09,,,,,,,4,,albieoz01
169,Nolan Gorman,24,STL,NL,106,97,93,874.1,400,147,243,10,68,.975,-4,-5,-4,-5,4.01,4.15,3.64,4.06,,,,,,,4/H5,,gormano01
170,Manny Machado,31,SDP,NL,100,100,94,873.2,232,78,147,7,11,.970,-3,-4,2,3,2.32,2.55,2.25,2.51,,,,,,,5D/H,MVP-16SS,machama01
171,Austin Wells,24,NYY,AL,110,96,85,872.1,936,892,33,11,5,.988,5,7,11,15,9.54,9.16,8.41,9.03,5,24,64,22,25.6,3,*2H/D,ROY-3,wellsau01
172,Luis Arraez,27,2TM,NL,100,100,81,872.0,644,508,127,9,59,.986,1,1,-6,-8,6.55,6.68,5.72,6.63,,,,,,,3D4/H,ASMVP-18,arraelu01
