Rk,Player,Age,Team,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,lgRF9,RF/G,lgRFG,PB,WP,SB,CS,CS%,Pick,Pos,Awards,-9999
1,Matt Olson,31,ATL,NL,162,162,158,1429.0,1297,1147,145,5,96,.996,15,13,17,14,8.14,8.23,7.98,8.09,,,,,,,*3,ASMVP-18GG,olsonma02
2,Geraldo Perdomo,25,ARI,NL,161,160,158,1425.0,628,223,387,18,84,.971,8,7,3,3,3.85,3.74,3.79,3.68,,,,,,,*6/H,MVP-4SS,perdoge01
3,Randy Arozarena,30,SEA,AL,158,158,149,1408.1,307,297,5,5,1,.984,-2,-1,-1,-1,1.93,2.28,1.91,2.25,,,,,,,*7/D,AS,arozara01
4,Julio Rodríguez,24,SEA,AL,159,158,151,1406.1,441,431,6,4,2,.991,14,12,9,8,2.80,2.28,2.75,2.25,,,,,,,*8/DH,ASMVP-6,rodriju01
5,Pete Alonso,30,NYM,NL,160,159,156,1403.0,1312,1178,124,10,100,.992,-6,-5,-9,-8,8.35,8.23,8.14,8.09,,,,,,,*3/D,ASMVP-11SS,alonspe01
6,Michael Harris II,24,ATL,NL,160,157,155,1397.0,404,402,1,1,0,.998,13,11,6,5,2.60,2.26,2.52,2.22,,,,,,,*8/H,,harrimi04
7,Willy Adames,29,SFG,NL,159,158,152,1389.2,614,200,398,16,76,.974,1,1,-2,-2,3.87,3.74,3.78,3.68,,,,,,,*6/D,,adamewi01
8,Ozzie Albies,28,ATL,NL,157,157,156,1387.0,575,205,368,2,64,.997,7,6,-3,-3,3.72,4.11,3.65,4.05,,,,,,,*4,,albieoz01
9,Dansby Swanson,31,CHC,NL,159,159,148,1387.0,586,221,354,11,73,.981,-2,-2,7,6,3.73,3.74,3.62,3.68,,,,,,,*6,,swansda01
10,J.P. Crawford,30,SEA,AL,157,155,149,1384.2,573,193,367,13,80,.977,3,2,-3,-3,3.64,3.73,3.57,3.68,,,,,,,*6/H,,crawfjp01
11,Elly De La Cruz,23,CIN,NL,158,157,153,1382.0,583,217,340,26,69,.955,0,0,-5,-4,3.63,3.74,3.53,3.68,,,,,,,*6/DH,ASMVP-23,delacel01
12,Francisco Lindor,31,NYM,NL,158,157,150,1374.0,607,217,377,13,73,.979,-8,-7,-1,-1,3.89,3.74,3.76,3.68,,,,,,,*6/DH,ASMVP-10,lindofr01
13,Juan Soto,26,NYM,NL,157,157,149,1374.0,258,249,8,1,1,.996,-11,-9,-7,-6,1.68,2.26,1.64,2.22,,,,,,,*9/D,MVP-3SS,sotoju01
14,Trevor Story,32,BOS,AL,156,155,148,1371.1,635,219,397,19,89,.970,-13,-12,-7,-6,4.04,3.73,3.95,3.68,,,,,,,*6/HD,,storytr01
15,Andy Pages,24,LAD,NL,156,155,108,1369.0,375,354,10,11,5,.971,5,4,8,7,2.39,2.26,2.33,2.22,,,,,,,*897,,pagesan01
16,Nico Hoerner,28,CHC,NL,156,156,140,1363.0,627,247,376,4,76,.994,5,4,17,15,4.11,4.10,3.87,4.03,,,,,,,*4/6,MVP-19GG,hoernni01
17,Pete Crow-Armstrong,23,CHC,NL,156,153,150,1357.0,434,427,5,2,2,.995,5,5,15,13,2.87,2.26,2.77,2.22,,,,,,,*8/HD,ASMVP-9GG,crowape01
18,Eugenio Suárez,33,2TM,2LG,155,152,145,1353.2,360,97,246,17,25,.953,-9,-8,-7,-6,2.28,2.52,2.18,2.57,,,,,,,*5/D3H,AS,suareeu01
18,Eugenio Suárez,33,ARI,NL,102,99,95,879.2,239,61,166,12,16,.950,-6,-8,-4,-5,2.32,2.53,2.23,2.54,,,,,,,5/DH3,,suareeu01
18,Eugenio Suárez,33,SEA,AL,53,53,50,474.0,121,36,80,5,9,.959,-4,-9,-3,-8,2.20,2.51,2.11,2.63,,,,,,,5/3,,suareeu01
19,Jarren Duran,28,BOS,AL,156,151,132,1346.0,306,289,10,7,0,.977,4,4,9,8,2.00,2.28,1.92,2.25,,,,,,,*78/H9D,,duranja01
